"","cell01","cell02","cell03","cell04","cell05","cell06","cell07","cell08","cell09","cell10","cell11","cell12","cell13","cell14","cell15","cell16","cell17","cell18","cell19","cell20","cell21","cell22","cell23","cell24","cell25","cell26","cell27","cell28","cell29","cell30","cell31","cell32","cell33","cell34","cell35","cell36","cell37","cell38","cell39","cell40","cell41","cell42","cell43","cell44","cell45","cell46","cell47","cell48","cell49","cell50","cell51","cell52","cell53","cell54","cell55","cell56","cell57","cell58","cell59","cell60"
"TP53",0,2,0,0,2,0,1,0,2,2,1,4,3,1,0,1,0,0,1,0,2,3,0,2,3,3,1,0,1,2,9,14,7,10,14,10,9,13,11,9,16,14,6,7,10,16,6,7,14,13,17,8,17,11,9,16,8,10,4,9
"KRAS",1,0,1,1,1,0,1,3,1,2,1,1,3,0,0,3,1,0,1,2,0,2,0,0,1,1,2,3,2,1,12,13,11,10,14,13,19,11,7,15,12,8,13,13,15,18,16,13,13,8,12,10,10,11,15,14,17,11,6,18
"APC",3,1,3,1,1,0,3,2,3,3,2,2,2,0,1,1,1,2,2,1,1,2,1,2,2,1,0,1,2,5,1,1,2,1,1,4,2,1,2,2,2,2,1,5,4,4,2,3,2,2,2,4,4,1,2,1,1,4,1,4
"SMAD4",2,4,0,3,1,0,1,0,3,2,2,2,2,3,3,1,3,0,2,2,0,2,3,2,1,3,4,3,0,3,1,0,2,5,2,3,3,1,2,1,1,2,3,1,4,2,4,0,2,2,3,3,4,3,3,3,4,0,5,2
"PIK3CA",3,2,0,1,1,1,2,2,2,3,2,2,3,0,3,2,1,1,3,2,1,0,0,6,1,2,0,2,1,2,1,1,0,2,2,2,2,2,2,0,0,0,2,1,1,3,1,3,2,4,0,0,2,3,2,1,3,0,4,0
"BRAF",1,0,2,3,3,3,2,2,0,3,3,3,2,1,3,1,3,0,1,1,0,3,1,0,4,1,2,2,2,2,0,0,1,3,0,4,1,1,1,2,3,2,2,2,3,1,5,1,0,1,2,1,2,3,1,1,0,2,1,3
"NRAS",1,4,1,2,0,4,4,1,3,1,2,4,4,3,2,4,3,0,3,2,1,2,1,4,0,0,0,3,1,1,3,0,0,3,2,0,0,2,5,1,3,4,1,2,1,2,3,1,2,3,1,4,0,2,0,2,0,3,0,1
"CTNNB1",3,1,1,2,1,1,2,1,1,3,1,0,1,0,2,1,1,4,1,2,0,4,4,4,2,3,0,1,1,2,1,1,3,1,2,2,2,1,0,2,0,5,3,5,0,4,1,5,0,1,1,0,9,0,0,2,3,2,3,3
"MYC",1,1,0,2,1,0,0,1,0,0,2,3,0,1,1,0,4,0,0,1,0,2,1,1,2,1,0,2,0,2,11,10,13,11,11,7,12,13,8,8,11,12,13,15,9,15,14,14,12,14,10,11,10,12,15,8,17,11,12,16
"EGFR",1,4,4,1,1,2,1,1,2,4,3,3,3,1,4,0,3,5,2,1,3,3,3,1,1,0,0,1,0,3,1,4,2,1,0,1,1,1,0,6,2,0,1,0,3,3,0,3,1,1,4,2,3,2,2,4,1,6,3,2
"PTEN",0,1,1,2,3,2,1,3,0,0,2,1,4,1,3,3,6,1,0,3,2,2,0,1,5,1,0,1,2,0,2,1,1,0,4,2,4,0,2,3,2,2,4,1,3,2,2,2,1,1,0,1,2,3,4,0,1,1,6,1
"FBXW7",1,3,0,3,4,0,3,1,1,3,3,1,3,2,3,2,4,4,2,1,4,4,1,1,2,0,3,0,2,2,2,1,3,3,2,2,2,5,0,2,3,4,1,1,2,4,3,1,3,2,2,3,3,5,2,2,3,1,0,1
"TCF7L2",1,2,4,0,0,2,1,2,2,3,5,3,1,1,2,3,1,0,2,0,0,0,0,5,2,2,2,1,2,0,2,1,3,2,2,4,0,2,4,1,1,2,0,2,4,3,3,1,2,2,2,4,3,0,1,3,2,2,3,3
"SOX9",2,1,2,2,0,0,1,1,0,1,3,2,4,2,1,3,6,5,3,3,4,3,3,5,5,5,5,8,9,11,10,12,11,11,13,14,14,14,15,14,15,16,17,16,16,19,18,18,18,18,20,19,18,20,17,19,18,18,18,18
"AXIN2",16,17,15,17,15,15,16,15,15,17,15,16,14,15,14,15,15,14,12,10,11,11,9,9,10,9,7,9,6,4,4,2,3,3,5,2,2,2,2,3,2,2,1,2,2,2,2,1,3,3,1,1,1,0,1,0,3,3,0,0
"LGR5",2,1,2,1,0,3,2,4,1,2,5,3,6,7,8,10,10,9,10,13,13,14,15,16,14,17,18,16,19,20,22,21,19,20,20,21,19,20,21,21,22,20,22,21,20,21,21,22,21,21,21,21,22,23,21,21,23,20,20,20
"MKI67",1,2,1,1,0,1,1,0,1,0,0,1,2,1,0,2,1,3,2,2,0,0,4,2,1,0,2,2,2,3,18,9,16,10,16,10,14,11,15,15,10,15,12,12,11,9,13,14,11,12,12,10,4,16,14,13,11,12,7,12
"CDKN2A",1,1,1,0,0,2,1,2,0,1,0,1,1,1,3,3,2,1,3,0,0,0,3,1,4,3,1,1,2,6,5,8,6,8,8,7,10,9,10,10,11,12,15,15,15,15,16,17,16,17,17,17,15,18,16,17,18,19,19,16
"VEGFA",0,1,2,2,0,1,0,0,0,0,3,3,0,2,0,0,2,1,0,0,2,1,2,0,3,4,2,1,0,0,14,17,11,12,12,10,11,18,8,12,7,11,14,6,16,12,4,8,12,12,10,9,11,13,9,12,10,10,8,11
"MMP7",0,1,3,1,2,0,1,3,4,0,2,3,3,4,0,3,4,4,4,0,3,3,4,2,2,2,4,2,1,5,1,2,3,3,1,0,4,4,2,3,4,4,3,1,8,1,1,1,1,2,3,0,0,1,1,3,2,3,4,2
"GENE0001",2,2,1,2,4,2,3,1,3,0,0,0,3,2,3,0,4,0,5,0,0,0,4,1,3,2,2,1,1,2,3,3,3,5,3,4,1,1,2,1,2,0,3,1,2,3,0,3,1,1,1,1,0,1,0,1,2,3,1,3
"GENE0002",1,0,2,4,3,5,1,6,3,3,1,3,3,4,0,3,2,0,1,5,2,3,3,0,3,1,1,2,2,1,1,2,2,2,1,1,4,1,2,0,1,3,1,0,2,2,1,4,1,5,0,7,2,1,2,0,1,1,2,1
"GENE0003",1,1,3,3,2,1,1,5,1,0,1,3,0,3,3,2,1,3,2,1,1,0,2,1,2,1,2,1,0,1,2,1,1,1,6,0,1,5,3,4,0,3,4,1,2,0,1,4,0,2,2,1,2,0,2,1,3,0,5,1
"GENE0004",2,5,0,5,3,3,1,2,0,0,2,3,1,3,1,2,2,5,4,3,3,0,3,2,1,0,2,2,2,1,1,3,0,4,2,2,1,1,0,1,0,2,1,1,3,0,2,2,4,3,1,2,0,4,1,4,2,2,1,1
"GENE0005",3,1,4,1,4,3,0,0,0,4,0,2,2,0,3,0,1,1,2,2,1,0,2,1,3,2,1,2,3,0,2,1,0,3,1,3,1,1,1,0,2,0,0,3,3,1,2,2,2,3,0,3,0,1,1,3,0,3,4,0
"GENE0006",2,1,2,3,1,0,2,2,2,3,1,5,1,3,0,0,3,2,2,0,3,5,2,3,1,2,0,3,2,0,2,2,2,0,1,0,2,3,3,3,2,0,1,2,1,2,4,0,1,1,5,0,2,3,6,4,3,1,2,1
"GENE0007",1,2,4,0,1,4,3,0,1,2,0,3,1,1,1,1,5,1,3,1,1,0,0,2,2,2,0,2,2,0,3,2,3,1,4,4,2,3,1,3,2,2,1,1,2,4,3,1,2,2,1,7,1,0,2,3,1,1,2,2
"GENE0008",0,0,1,0,0,2,2,5,1,1,1,4,2,0,2,0,2,4,3,3,1,2,2,2,2,1,2,3,1,0,1,0,0,4,0,1,1,1,3,1,0,3,3,1,2,1,3,2,1,2,1,3,3,2,5,1,3,1,1,0
"GENE0009",0,1,0,3,3,3,0,0,2,0,3,1,1,3,6,2,4,2,1,0,1,5,1,0,1,0,4,4,2,1,2,2,2,2,0,2,5,0,0,3,7,1,3,2,1,2,0,3,0,2,4,1,3,4,3,3,2,0,4,6
"GENE0010",1,0,0,2,3,0,2,2,3,3,0,2,0,5,1,5,1,1,2,3,1,0,4,3,1,5,5,2,2,1,1,2,1,1,1,0,2,4,1,2,1,2,2,2,3,1,1,3,1,3,1,3,4,2,1,3,5,2,3,1
"GENE0011",2,4,5,2,1,4,0,3,0,3,3,0,4,1,0,2,2,1,2,0,1,3,3,1,3,0,1,1,3,3,3,2,1,3,1,3,3,2,1,1,3,3,3,1,4,4,2,4,3,3,6,2,3,2,4,7,3,2,0,1
"GENE0012",0,3,2,0,2,0,1,1,1,3,2,2,3,0,0,5,1,5,2,3,1,2,2,3,1,2,5,4,2,3,3,3,2,1,3,3,2,2,2,2,1,2,2,1,0,0,1,1,2,2,3,1,3,4,3,1,3,2,1,5
"GENE0013",1,1,3,4,2,3,0,1,1,0,1,1,3,0,2,1,5,1,4,1,1,2,1,3,2,5,1,3,2,2,1,1,2,4,1,3,1,1,4,0,0,3,1,1,7,2,2,1,0,1,1,7,1,0,1,5,2,0,6,0
