"","x"
"1","TP53"
"2","KRAS"
"3","APC"
"4","SMAD4"
"5","PIK3CA"
"6","BRAF"
"7","NRAS"
"8","CTNNB1"
"9","MYC"
"10","EGFR"
"11","PTEN"
"12","FBXW7"
"13","TCF7L2"
"14","SOX9"
"15","AXIN2"
"16","LGR5"
"17","MKI67"
"18","CDKN2A"
"19","VEGFA"
"20","MMP7"
"21","GENE0109"
"22","GENE0122"
"23","GENE0163"
"24","GENE0088"
"25","GENE0010"
"26","GENE0022"
"27","GENE0143"
"28","GENE0006"
"29","GENE0138"
"30","GENE0077"
"31","GENE0167"
"32","GENE0151"
"33","GENE0049"
"34","GENE0063"
"35","GENE0097"
"36","GENE0131"
"37","GENE0104"
"38","GENE0152"
"39","GENE0126"
"40","GENE0096"
"41","GENE0159"
"42","GENE0085"
"43","GENE0164"
"44","GENE0166"
"45","GENE0115"
"46","GENE0156"
"47","GENE0075"
"48","GENE0125"
"49","GENE0100"
"50","GENE0105"
