"","miR-21","miR-34a","miR-143","miR-145","miR-200c"
"TP53",0,3,3,0,3
"KRAS",3,2,1,1,5
"APC",1,2,1,2,0
"SMAD4",3,3,4,1,3
"PIK3CA",2,2,6,0,1
"BRAF",2,4,7,1,0
"NRAS",2,4,1,1,2
"CTNNB1",1,3,2,0,7
"MYC",0,0,3,1,1
"EGFR",4,2,4,2,6
"PTEN",3,2,2,0,2
"FBXW7",2,3,1,2,3
"TCF7L2",4,0,3,1,4
"SOX9",1,5,3,2,4
"AXIN2",2,3,7,0,5
"LGR5",2,2,2,1,3
"MKI67",0,1,4,0,2
"CDKN2A",3,5,1,1,5
"VEGFA",3,2,3,2,3
"MMP7",4,4,3,1,2
"GENE0001",0,0,0,0,1
"GENE0002",0,1,0,0,0
"GENE0003",0,0,1,0,0
"GENE0004",0,0,0,1,0
"GENE0005",0,1,0,0,0
"GENE0006",0,1,0,1,1
"GENE0007",0,0,0,0,1
"GENE0008",1,0,0,0,1
"GENE0009",0,0,0,1,0
"GENE0010",0,0,0,1,0
"GENE0011",0,0,1,0,0
"GENE0012",2,0,1,1,0
"GENE0013",0,2,0,0,0
"GENE0014",0,0,0,0,0
"GENE0015",0,0,0,0,0
"GENE0016",0,0,0,0,0
"GENE0017",0,0,0,0,0
"GENE0018",0,0,1,0,1
"GENE0019",1,0,0,0,1
"GENE0020",0,0,1,1,0
"GENE0021",0,0,1,0,0
"GENE0022",0,0,1,0,1
"GENE0023",1,0,1,1,0
"GENE0024",1,0,0,1,0
"GENE0025",0,0,0,0,2
"GENE0026",1,0,0,0,2
"GENE0027",0,0,0,0,0
"GENE0028",0,2,0,0,0
"GENE0029",1,1,0,1,0
"GENE0030",0,1,1,0,0
"GENE0031",1,0,1,1,0
"GENE0032",0,0,1,0,0
"GENE0033",0,0,0,0,2
"GENE0034",1,0,0,1,1
"GENE0035",1,0,0,0,0
"GENE0036",0,0,0,0,0
"GENE0037",1,0,0,0,0
"GENE0038",0,0,0,2,0
"GENE0039",0,0,1,0,0
"GENE0040",0,0,0,1,0
"GENE0041",1,1,0,0,0
"GENE0042",0,0,1,0,1
"GENE0043",0,0,1,0,0
"GENE0044",0,0,0,0,0
"GENE0045",1,0,0,0,0
"GENE0046",0,0,0,0,1
"GENE0047",0,0,1,0,0
"GENE0048",0,0,0,1,0
"GENE0049",1,0,0,0,0
"GENE0050",0,0,0,1,0
"GENE0051",0,0,0,1,0
"GENE0052",0,0,0,0,1
"GENE0053",0,1,0,0,0
"GENE0054",0,0,0,1,1
"GENE0055",0,0,0,0,0
"GENE0056",0,0,0,0,1
"GENE0057",1,0,0,0,0
"GENE0058",0,0,0,0,0
"GENE0059",0,0,1,0,0
"GENE0060",0,1,0,0,0
"GENE0061",0,0,0,0,1
"GENE0062",0,0,1,0,0
"GENE0063",0,0,0,0,1
"GENE0064",0,0,3,1,0
"GENE0065",0,0,3,0,2
"GENE0066",0,1,2,0,0
"GENE0067",0,1,0,0,2
"GENE0068",1,0,0,0,0
"GENE0069",1,1,0,1,0
"GENE0070",1,0,0,0,0
"GENE0071",1,0,0,0,0
"GENE0072",2,0,0,0,0
"GENE0073",0,0,1,0,0
"GENE0074",0,1,0,0,1
"GENE0075",0,0,1,0,0
"GENE0076",0,0,0,0,1
"GENE0077",0,0,0,0,1
"GENE0078",2,1,0,0,1
"GENE0079",0,0,0,0,0
"GENE0080",0,0,1,1,0
"GENE0081",0,1,1,0,3
"GENE0082",0,0,0,1,0
"GENE0083",0,0,2,1,0
"GENE0084",0,2,1,1,0
"GENE0085",0,0,0,0,0
"GENE0086",0,0,0,0,1
"GENE0087",0,0,0,1,1
"GENE0088",1,0,1,0,0
"GENE0089",0,0,0,1,0
"GENE0090",0,0,0,0,1
"GENE0091",0,0,1,0,0
"GENE0092",0,0,0,0,0
"GENE0093",1,0,0,1,1
"GENE0094",1,0,0,0,0
"GENE0095",0,0,1,1,0
"GENE0096",0,0,0,1,1
"GENE0097",0,0,0,1,0
"GENE0098",0,1,0,0,0
"GENE0099",0,0,0,1,0
