"cell","pseudotime"
"cell01",0.00394833879545331
"cell02",0.00733414688147604
"cell03",0.0374310328625143
"cell04",0.038936491124332
"cell05",0.0824375580996275
"cell06",0.117487361654639
"cell07",0.13466659723781
"cell08",0.138710167724639
"cell09",0.171264330390841
"cell10",0.207658972823992
"cell11",0.255428824340925
"cell12",0.261087963823229
"cell13",0.286139534786344
"cell14",0.333427211269736
"cell15",0.346748248208314
"cell16",0.379559240536764
"cell17",0.388108282815665
"cell18",0.390203467104584
"cell19",0.39848541142419
"cell20",0.431751248892397
"cell21",0.435771584976465
"cell22",0.446969628101215
"cell23",0.45774177624844
"cell24",0.462292822543532
"cell25",0.474997081561014
"cell26",0.514211784349754
"cell27",0.514412934659049
"cell28",0.519095949130133
"cell29",0.560332746244967
"cell30",0.611778643447906
"cell31",0.618838207330555
"cell32",0.639978769468144
"cell33",0.641745518893003
"cell34",0.656992290401831
"cell35",0.67727683018893
"cell36",0.685169729404151
"cell37",0.705064784036949
"cell38",0.719112251652405
"cell39",0.736588314641267
"cell40",0.737595617771149
"cell41",0.748795386170968
"cell42",0.784692775690928
"cell43",0.811055141268298
"cell44",0.830447626067325
"cell45",0.832916080253199
"cell46",0.836004259996116
"cell47",0.887754905503243
"cell48",0.904031387297437
"cell49",0.905738130910322
"cell50",0.906601407798007
"cell51",0.914806043496355
"cell52",0.934672247152776
"cell53",0.937075413297862
"cell54",0.940014522755519
"cell55",0.946668232558295
"cell56",0.957576596643776
"cell57",0.970966610359028
"cell58",0.973539913771674
"cell59",0.978226428385824
"cell60",0.988891728920862
